"FR ID","Sub-requirement","Planned check","Status"
"FR-01","FR-01.1: The system shall allow users to log in and log out.","TC-FR-01.1: Login with valid/invalid credentials; logout makes the old session unusable.","Planned - not run"
"FR-01","FR-01.2: Users shall only view information and perform actions allowed by their permissions.","TC-FR-01.2: Run read/write requests as Admin, Engineer, Viewer and unauthenticated caller; verify allowed and denied operations.","Planned - not run"
"FR-01","FR-01.3: Application roles, such as Admin and Viewer, shall be separate from incident responsibilities, such as Commander and Scribe.","TC-FR-01.3: Confirm an incident responsibility cannot grant configuration or user-admin access; finalize responsibility representation.","Scope review - not run"
"FR-02","FR-02.1: Authorized users shall be able to create an incident with a title, description, affected service, and severity.","TC-FR-02.1: Create with all required fields; omit each required field and verify rejection without partial records.","Planned - not run"
"FR-02","FR-02.2: The system shall generate a unique ID, record the reporter and creation time, and set the initial status to OPEN.","TC-FR-02.2: Create two incidents; verify distinct IDs, correct creator/time and OPEN status.","Planned - not run"
"FR-03","FR-03.1: The system shall check the source and required fields of incoming alerts and reject invalid requests.","TC-FR-03.1: Send valid, missing and invalid signatures and malformed required fields; only valid events are accepted.","Planned - not run"
"FR-03","FR-03.2: Receiving the same event again shall not create another alert or incident.","TC-FR-03.2: Replay and concurrently submit one event; one alert/incident persists and the result is reused; changed content conflicts.","Planned - not run"
"FR-03","FR-03.3: A new alert related to an active incident shall be linked to it using configured matching rules.","TC-FR-03.3: Send distinct events with matching source/service/key concurrently; one active incident contains both; different keys stay separate.","Planned - not run"
"FR-03","FR-03.4: If no matching incident is found, the system shall create a new incident.","TC-FR-03.4: Send a new key, no key, and a recurrence after resolution; each creates the expected new incident.","Planned - not run"
"FR-04","FR-04.1: The system shall support SEV1, SEV2, SEV3, and SEV4.","TC-FR-04.1: Accept SEV1 through SEV4 and reject other severity values.","Planned - not run"
"FR-04","FR-04.2: Authorized users shall be able to change severity, with the reason recorded.","TC-FR-04.2: Change severity with a reason; verify actor/history and unchanged copied SLA targets; reject missing reason.","Planned - not run"
"FR-04","FR-04.3: The incident board shall allow sorting by severity and time remaining before an SLA deadline.","TC-FR-04.3: Sort a fixture board by severity and SLA deadline; verify expected order.","Planned - not run"
"FR-05","FR-05.1: The system shall assign a new incident to the service's on-call responder or configured fallback contact.","TC-FR-05.1: Create inside an on-call slot and outside all slots; verify scheduled user and fallback respectively.","Planned - not run"
"FR-05","FR-05.2: Authorized users shall be able to reassign an incident to another person or team.","TC-FR-05.2: Reassign to another user and record history; team reassignment is deferred in this plan, so the original statement is only partly covered.","Scope review - not run"
"FR-05","FR-05.3: The system shall display the current owner and record who changed the assignment, when, and from whom to whom.","TC-FR-05.3: After reassignment or acknowledgement by another user, verify displayed owner and old/new owner, actor and time in history. ACK-OWNER: after escalation notifies B, test A-first and B-first acknowledgement; the winner becomes assignee and the later attempt cannot overwrite it.","Planned - not run"
